# Dataset for pandas demo
Symbol	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45
C14orf93	10.69116088	10.96721252	11.24521964	11.71395533	11.69489613	11.62893914	11.59523707	11.57211845	12.18336071	12.10370266	12.03852434	12.12324623	11.90633458	11.84177953	11.7656772	11.96326197
C15orf23	11.34881256	11.04435487	11.14216092	11.01526138	11.19102969	10.83795362	10.57331266	10.60473646	10.74543016	10.68186339	10.60206681	10.44423102	9.517474106	9.531705781	9.553612756	9.673832888
C15orf38	10.50313413	10.49570983	10.21549496	10.06934796	9.71291478	9.692740406	9.620348677	9.773773666	9.825905332	9.726199233	9.744036147	9.836542955	9.812079064	9.681400181	9.792280609	10.14281969
C16orf60	13.02112501	13.05480441	13.20723199	13.14965162	12.45665168	12.2971369	12.31966638	12.25492628	12.33707277	12.44467437	12.14450256	11.83536179	11.08631754	11.16737757	11.09982112	11.05374176
C17orf53	10.64677399	10.75755518	10.63454045	10.69651408	10.21549496	10.09782022	9.880411629	9.745237798	10.01317201	9.861920118	9.659900607	9.662716691	8.811943015	8.790962371	8.786636808	8.819100864
C18orf1	7.975553052	8.072429293	8.451530791	8.964069388	8.986565315	9.108741914	9.348887347	9.322854822	9.352988698	9.394560259	9.696527158	9.671992064	9.937102941	10.15777608	10.10289134	10.10048751
C18orf24	9.507178108	9.510232556	9.653012721	9.714191183	9.268114058	8.962582769	8.901845283	8.820508949	9.103833796	8.995506857	8.800432469	8.628179385	8.086533958	8.283066926	8.266862981	8.285115797
C18orf55	13.03545403	12.88550682	12.60185022	12.49334972	12.39888848	12.13547058	12.35314595	12.37245344	12.28563588	12.28417178	12.22628965	12.36411141	12.35915666	12.30130438	12.24132899	12.64081017
C19orf40	9.83953289	9.987533195	10.02885558	9.72795005	9.757840047	9.548004976	9.478760602	9.331297796	9.476148743	9.328207421	9.320640873	9.365841403	9.104939402	8.963152578	8.861912345	9.091082631
C19orf48	11.59319837	11.67112518	11.31627885	11.22308337	11.17035022	10.78082758	10.88167603	10.81378318	10.75535468	10.78082758	10.86944307	10.93719814	10.63663258	10.51453027	10.32098568	10.59316822
C1orf106	9.308520219	9.307675643	9.760671464	10.01442368	9.623390885	9.763193055	10.03304448	9.9925725	10.43972628	10.19449057	10.28163237	10.33940192	10.38790776	10.53842878	10.52751071	10.28705753
C1orf112	11.32265166	11.43654783	11.15496102	10.9323097	10.12702036	10.06339383	9.924967179	9.940234536	10.03422424	9.799036818	9.762037109	9.714191183	9.305264647	9.158943277	9.489155634	9.543737493
C1orf115	11.87569045	11.90590759	12.44097024	12.68777519	13.22322194	13.17935379	13.14606783	13.43518624	13.10836178	13.03631599	12.8791828	13.17935379	13.43752923	13.37462988	13.31697883	13.32458602
C1orf116	10.96589765	10.84844904	11.50916518	11.82363547	11.82226911	11.89622928	11.83799002	11.76017446	12.3007806	12.23613468	12.2232497	12.13857253	12.13081359	12.28417178	12.2003639	12.15037388
